"name","type","daging","ikan","cokelat","tepung","cabe","air","roti","sayur","susu"
"Saksang Ayam","ayam-daging","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0"
"Ayam Goreng Madu","ayam-daging","0.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0"
"Ayam Kecap","ayam-daging","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0"
"Ayam Geprek Keju","ayam-daging","0.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","0.0"
"Chicken Basil Thai","ayam-daging","1.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0"
"Dumpling Ayam Kukus","ayam-daging","0.0","1.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0"
"Tangsuyuk Sapi","ayam-daging","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0"
"Kekian Ayam Udang","ayam-daging","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0"
"Yakitori Ayam","ayam-daging","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0"
"Ayam Telur Asin","ayam-daging","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0"
"Ayam Kuah Hitam","ayam-daging","0.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0"
"Korean Spicy Chicken","ayam-daging","0.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0"
"Nasi Jinggo","ayam-daging","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"Bubur Ayam Quaker Oat","ayam-daging","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0"
"Lidah Sapi Cabe hijau","ayam-daging","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0"
"Ayam Goreng Oatmeal","ayam-daging","1.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0"
"Burrito Ayam","ayam-daging","1.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0","1.0"
"Ayam Kecap Kuah","ayam-daging","0.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0","1.0"
"Ayam Kecap Pedas","ayam-daging","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0"
"Ayam Bumbu Rajang (Khas Lombok)","ayam-daging","1.0","1.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0"
"Gore Gore","ayam-daging","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0"
"Bakso Keju","ayam-daging","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0"
"Tum Ayam","ayam-daging","0.0","1.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0"
"Ayam Bakar Lumajang","ayam-daging","0.0","0.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0"
"Ayam Bakar Bumbu Rujak","ayam-daging","1.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0"
"Ayam Panggang Pecel","ayam-daging","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0"
"Nasi Briyani Ayam","ayam-daging","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0"
"Ayam Kodok","ayam-daging","1.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0"
"Sepat Ayam","ayam-daging","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0"
"Tahu Campur","ayam-daging","0.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0"
"Ayam Kecap Jahe","ayam-daging","1.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0"
"Daging Bumbu Bali","ayam-daging","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0"
"Ayam Bakar Klaten","ayam-daging","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0"
"Ayam Goreng Cabe","ayam-daging","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0"
"Ayam Kare Jawa","ayam-daging","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0"
"Ayam Goreng Sasando","ayam-daging","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0"
"Kalio Daging Sapi","ayam-daging","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Tumis Ayam Cincang Nanas Paprika","ayam-daging","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0"
"Tim Telur Daging","ayam-daging","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Sate Ponorogo","ayam-daging","1.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Ayam Rebus Bumbu","ayam-daging","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0"
"Ayam Saus Inggris","ayam-daging","1.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","1.0"
"Ayam Tangkap","ayam-daging","1.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0"
"Nasi Bebek","ayam-daging","0.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0"
"Sayap Ayam Isi","ayam-daging","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sop Buntut Bakar","ayam-daging","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0"
"Siomay Udang Kuah Kaldu","ayam-daging","0.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0"
"Batagor Kuah","ayam-daging","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0"
"Ayam Goreng Bawang","ayam-daging","0.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0"
"Ayam Goreng Terasi","ayam-daging","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0"
"Ayam Suwir Cabe Ijo","ayam-daging","0.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0"
"Ayam Panggang Madu","ayam-daging","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
"Ayam Panggang Lada Hitam","ayam-daging","0.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","1.0"
"Dendeng Lambok","ayam-daging","0.0","0.0","0.0","1.0","0.0","0.0","1.0","1.0","1.0"
"Oseng Tahu Udang","ayam-daging","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0"
"Pallu Basa","ayam-daging","1.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0"
"Egg Chicken Roll","ayam-daging","1.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0"
"Itiak Lado Mudo (Bebek Cabe Ijo)","ayam-daging","0.0","0.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0"
"Tengkleng","ayam-daging","1.0","1.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0"
"Sate Padang","ayam-daging","1.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Ayam Jerit","ayam-daging","0.0","1.0","0.0","1.0","0.0","0.0","1.0","1.0","1.0"
"Tumis Daging Sapi Cabe Ijo","ayam-daging","1.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","1.0"
"Kalio Ayam","ayam-daging","0.0","1.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0"
"Iga Penyet","ayam-daging","1.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0"
"Sambal Goreng Hati Sapi","ayam-daging","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Ayam Pelalah","ayam-daging","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0"
"Krengsengan Daging Sapi","ayam-daging","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0"
"Ayam Bekakak","ayam-daging","0.0","1.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0"
"Ekkado","ayam-daging","1.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0"
"Gadon Daging","ayam-daging","0.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0"
"Gulai Iga Sapi","ayam-daging","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0"
"Ayam Saus Lemon","ayam-daging","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0"
"Bistik Lidah Sapi","ayam-daging","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0"
"Kebab","ayam-daging","1.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","0.0"
"Ayam Barbeque","ayam-daging","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","1.0"
"Ayam Lodho","ayam-daging","1.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","1.0"
"Ayam Gepuk","ayam-daging","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0"
"Ayam Goreng KFC Krispi","ayam-daging","0.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0"
"Ayam Gongso","ayam-daging","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0"
"Spicy Chicken Wings (Richeese)","ayam-daging","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0"
"Bebek Madura","ayam-daging","1.0","0.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0"
"Paru Goreng","ayam-daging","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0"
"Pindang Daging Kudus","ayam-daging","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0"
"Bebek Kaleyo","ayam-daging","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0"
"Sate Maranggi","ayam-daging","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0"
"Ayam Wijen Saus Mentega","ayam-daging","1.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"Babat Gongso","ayam-daging","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0"
"Ayam Kecap Goreng Mentega","ayam-daging","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","1.0"
"Kari Kambing","ayam-daging","0.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0"
"Mie Kangkung Ayam","ayam-daging","1.0","0.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0"
"Sambal Goreng Krecek","ayam-daging","1.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0"
"Gyoza","ayam-daging","1.0","1.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0"
"Sate Klopo","ayam-daging","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0"
"Sop Ceker","ayam-daging","1.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Sempol Ikan Tenggiri","ayam-daging","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0"
"Bebek Goreng Surabaya","ayam-daging","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0"
"Ayam Kemangi","ayam-daging","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ayam Pok Pok","ayam-daging","0.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0"
"Ayam Geprek (Tanpa Tepung)","ayam-daging","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0"
"Ayam Geprek Jogja","ayam-daging","1.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0"
"Bulgogi","ayam-daging","0.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0"
"Ayam Penyet","ayam-daging","1.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0"
"Dim Sum Ceker Ayam","ayam-daging","0.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0"
"Tumis Buncis Daging Giling","ayam-daging","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Ayam Goreng Tulang Lunak","ayam-daging","0.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0"
"Ayam Goreng Kalasan","ayam-daging","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0"
"Sate Kambing","ayam-daging","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0"
"Pindang Tulang Iga","ayam-daging","1.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0","1.0"
"Ayam Bakar Padang","ayam-daging","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0"
"Ayam Sambal Matah","ayam-daging","0.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0"
"Ayam Lada Hitam","ayam-daging","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0"
"Ayam Bakar Bumbu Bali","ayam-daging","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0"
"Bakso Ayam","ayam-daging","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0"
"Brongkos","ayam-daging","1.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0"
"Abon Sapi","ayam-daging","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0"
"Ayam Bakar Bumbu Kuning","ayam-daging","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0"
"Galantin Ayam","ayam-daging","1.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0"
"Ayam Nasu Palekko","ayam-daging","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0"
"Bistik Ayam","ayam-daging","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0"
"Gulai Ayam Padang","ayam-daging","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0"
"Rendang Ayam","ayam-daging","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","1.0"
"Semur Hati Ampela Ayam","ayam-daging","1.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","1.0"
"Ayam Bakar Kecap","ayam-daging","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Opor Ayam Putih","ayam-daging","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Galantin Daging Sapi","ayam-daging","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0"
"Pecel Ayam","ayam-daging","1.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0"
"Ayam Taliwang","ayam-daging","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0"
"Sambal Goreng Ati Ampela","ayam-daging","1.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0"
"Ayam Karage","ayam-daging","0.0","0.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0"
"Ayam Nanking","ayam-daging","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0"
"Rendang Daging Sapi Padang","ayam-daging","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0"
"Sop Saudara","ayam-daging","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0"
"Ayam Kremes","ayam-daging","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","1.0"
"Usus Ayam Tumis Pedas Manis","ayam-daging","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Ayam Kungpao","ayam-daging","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0"
"Terik Daging Tahu Tempe","ayam-daging","0.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0"
"Beef Steak Tenderloin Blackpepper Sauce","ayam-daging","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0"
"Chicken (Ayam) Teriyaki","ayam-daging","1.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0"
"Ayam Betutu","ayam-daging","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0"
"Beef Daging Teriyaki","ayam-daging","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0"
"Steak Ayam Brown Sauce ( Chicken Steak )","ayam-daging","0.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","1.0"
"Seblak Ceker","ayam-daging","0.0","1.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0"
"Ayam Pop","ayam-daging","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0"
"Tongseng Ayam","ayam-daging","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0"
"Dendeng Balado","ayam-daging","1.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0"
"Ayam Balado","ayam-daging","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Semur Daging Sapi","ayam-daging","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0"
"Rolade Daging Sapi","ayam-daging","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0"
"Daging Sapi Paprika Lada Hitam","ayam-daging","0.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","1.0"
"Siomay Ayam Udang Dimsum","ayam-daging","1.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0"
"Tongseng Sapi","ayam-daging","0.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0"
"Bistik Daging Sapi","ayam-daging","1.0","0.0","1.0","1.0","1.0","0.0","0.0","1.0","1.0"
"Ayam Kuluyuk","ayam-daging","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0"
"Rendang Daging Sapi (Asli Minang)","ayam-daging","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0"
"Ayam Saus Tiram","ayam-daging","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Ayam Popcorn","ayam-daging","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0"
"Kikil Sapi Oseng Cabe Hijau","ayam-daging","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0"
"Sate Taichan","ayam-daging","1.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0"
"Rawon","ayam-daging","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0"
"Nugget Ayam","ayam-daging","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ayam Rica-Rica","ayam-daging","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0"
"Ayam Kecap Padang","ayam-daging","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Ayam Cabe Ijo","ayam-daging","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0"
"Gulai Kambing","ayam-daging","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","1.0"
"Ayam Goreng Lengkuas","ayam-daging","0.0","1.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0"
"Asem-Asem Daging","ayam-daging","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0"
"Ayam Goreng Tepung","ayam-daging","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0"
"Ayam Woku","ayam-daging","0.0","1.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0"
"Ayam Suwir Pedas Bali","ayam-daging","0.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0"
"Pepes Ayam","ayam-daging","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Ayam Goreng Kecap","ayam-daging","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0"
"Chicken Katsu","ayam-daging","0.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0"
"Beef Yakiniku","ayam-daging","0.0","1.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0"
"Ceker Ayam Pedas","ayam-daging","1.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","1.0"
"Ayam Bakar Madu","ayam-daging","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0"
"Semur Ayam","ayam-daging","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","1.0"
"Ayam Serundeng","ayam-daging","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Sate Lilit","ayam-daging","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0"
"Chicken Cordon Bleu","ayam-daging","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0"
"Selat Solo","ayam-daging","0.0","1.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0"
"Empal Gentong","ayam-daging","0.0","1.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0"
"Krengsengan Kambing","ayam-daging","1.0","1.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0"
"Nasi Bakar Ayam Kemangi","ayam-daging","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0"
"Nasi Gandul","ayam-daging","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0"
"Mie Sop Medan","ayam-daging","0.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0"
"Koloke Ayam","ayam-daging","0.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0"
"Tongseng Kambing","ayam-daging","1.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0"
"Ayam Tuturuga","ayam-daging","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","1.0"
"Sate Komoh","ayam-daging","0.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0"
"Rabeg Daging Sapi","ayam-daging","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0"
"Hamburger Daging","ayam-daging","1.0","1.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0"
"Garang Asem Ayam","ayam-daging","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0"
"Empal Gepuk","ayam-daging","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0"
"Sate Ayam Madura","ayam-daging","1.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0"
"Ayam Goreng Padang","ayam-daging","1.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0"
"Daging Malbi Semur","ayam-daging","1.0","0.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0"
"Dendeng Ragi","ayam-daging","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Ayam Asam Manis","ayam-daging","0.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0"
"Serundeng Daging","ayam-daging","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0"
"Ayam Bumbu Rujak Kuah","ayam-daging","0.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","1.0"
"Ceker Ayam Mercon","ayam-daging","0.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0"
"Iga Bakar Madu","ayam-daging","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"Sempol Ayam","ayam-daging","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0"
"Sate Daging Sapi","ayam-daging","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0"
"Dendeng Batokok","ayam-daging","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0"
"Gulai Kikil (Tunjang)","ayam-daging","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0"
"Opor Ayam Kuning","ayam-daging","0.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0"
"Oseng Mercon","ayam-daging","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Semur Bola Bola Daging","ayam-daging","0.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0"
"Kari Ayam","ayam-daging","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0"
"Kentang Daging Cincang","ayam-daging","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0"
"Rendang Bola Bola Daging","ayam-daging","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0"
"Ikan Mas Pindang","ikan-seafood","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0"
"Ikan Mujair Goreng","ikan-seafood","1.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","1.0"
"Ikan Bandeng Asam Manis","ikan-seafood","0.0","1.0","1.0","0.0","1.0","1.0","0.0","1.0","1.0"
"Ikan Mas Bakar","ikan-seafood","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0"
"Ikan Mas Pesmol","ikan-seafood","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0"
"Ikan Bandeng Goreng","ikan-seafood","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0"
"Ikan Bandeng Pepes","ikan-seafood","1.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0"
"Ikan Mas Goreng","ikan-seafood","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0"
"Ikan Bandeng Gulai","ikan-seafood","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0"
"Ikan Kembung Pesmol","ikan-seafood","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0"
"Pepes Ikan Tongkol","ikan-seafood","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0"
"Pempek Panggang","ikan-seafood","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0"
"Gulai Ikan Mas","ikan-seafood","1.0","1.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0"
"Odeng Kuah Korea","ikan-seafood","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0"
"Ikan Nila Goreng","ikan-seafood","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
